Jahr;SitzeBT;Wahlberechtigte;Wähler;Wahlbeteiligung;Nichtwähler;NichtwählerProzent;Ungültig;UngültigProzent;Gültig;GültigProzent;BeteiligungGültig
1949;421;31207620;24495614;78,49;6712006;21,51;763216;3,12;23732398;96,88;76,05
1953;509;33120940;28479550;85,99;4641390;14,01;928278;3,26;27551272;96,74;83,18
1957;519;35400923;31072894;87,77;4328029;12,23;1167466;3,76;29905428;96,24;84,48
1961;521;37440715;32849624;87,74;4591091;12,26;1298723;3,95;31550901;96,05;84,27
1965;518;38510395;33416207;86,77;5094188;13,23;795765;2,38;32620442;97,62;84,71
1969;518;38677235;33523064;86,67;5154171;13,33;557040;1,66;32966024;98,34;85,23
1972;518;41446302;37761589;91,11;3684713;8,89;301839;0,80;37459750;99,20;90,38
1976;518;42058015;38165753;90,75;3892262;9,25;343253;0,90;37822500;99,10;89,93
1980;519;43231741;38292176;88,57;4939565;11,43;353115;0,92;37938981;99,08;87,76
1983;520;44088935;39279529;89,09;4809406;10,91;338841;0,86;38940687;99,14;88,32
1987;519;45327982;38225294;84,33;7102688;15,67;357975;0,94;37867319;99,06;83,54
1990;662;60436560;46995915;77,76;13440645;22,24;540143;1,15;46455772;98,85;76,87
1994;672;60452009;47737999;78,97;12714010;21,03;632825;1,33;47105174;98,67;77,92
1998;669;60762751;49947087;82,20;10815664;17,80;638575;1,28;49308512;98,72;81,15
2002;603;61432868;48582761;79,08;12850107;20,92;586281;1,21;47996480;98,79;78,13
2005;614;61870711;48044134;77,65;13826577;22,35;756146;1,57;47287988;98,43;76,43
2009;622;62168489;44005575;70,78;18162914;29,22;634385;1,44;43371190;98,56;69,76
2013;630;61903903;44289652;71,55;17614251;28,45;587178;1,33;43702474;98,67;70,60
2017;709;61675529;46973799;76,16;14701730;23,84;466942;0,99;46506857;99,01;75,41 
2021;736;61181072;46854508;76,58;14326564;23,42;412485;0,88;46442023;99,12;75,91
